1675196825.983156 client started (15929): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1675196825.983238 on Darwin 20.6.0 Darwin Kernel Version 20.6.0: Sun Nov  6 23:17:00 PST 2022; root:xnu-7195.141.46~1/RELEASE_X86_64
1675196825.983271 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1675196826.003930 sending message 105 to peer 0x7fd868d31000 (23 bytes)
1675196826.003938 sending message 105 to peer 0x7fd868d31000 (30 bytes)
1675196826.003947 sending message 105 to peer 0x7fd868d31000 (22 bytes)
1675196826.003957 sending message 106 to peer 0x7fd868d31000 (0 bytes)
1675196826.004188 sending message 200 to peer 0x7fd868d31000 (4 bytes)
1675196826.004210 client loop enter
1675196826.014000 client_signal: Child exited: 20
1675196826.169617 peer 0x7fd868d31000 message 207
1675196826.169639 sending message 208 to peer 0x7fd868d31000 (0 bytes)
1675196834.148192 client_signal: Window size changes: 28
1675196834.148647 sending message 208 to peer 0x7fd868d31000 (0 bytes)
1675196835.345150 client_signal: Window size changes: 28
1675196835.345219 sending message 208 to peer 0x7fd868d31000 (0 bytes)
1675196854.862127 client_signal: Window size changes: 28
1675196854.862602 sending message 208 to peer 0x7fd868d31000 (0 bytes)
1675196856.112757 client_signal: Window size changes: 28
1675196856.112817 sending message 208 to peer 0x7fd868d31000 (0 bytes)
1675197146.848096 client_signal: Hangup: 1
1675197146.848160 sending message 205 to peer 0x7fd868d31000 (0 bytes)
1675197146.850221 client_signal: Hangup: 1
1675197146.850263 sending message 205 to peer 0x7fd868d31000 (0 bytes)
1675197146.851935 peer 0x7fd868d31000 message 204
1675197146.851954 peer 0x7fd868d31000 message 204
1675197146.851973 client loop exit
